0938/016,La Luna Inn,2599 LOMBARD ST,94123,16394,Hotel,http://propertymap.sfplanning.org/?&search=0938/016,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,,,,,,80,,,,56,72.5,137.9,-5.8,-5.9,80,4.9,72.8,138.7,56,71.6,132,-6,-6,75,4.6,74.6,141.4,64,66.8,125.7,-12.9,-12.9,70.6,4.3,67.7,128.3
3708/095,560 Mission Street,560 Mission St,94105,763841,Office,http://propertymap.sfplanning.org/?&search=3708/095,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Exempt - LEED EBOM,91,53.2,166.9,-43.6,-43.6,3201.8,4.7,53.2,166.9,91,53.2,167.2,-43.7,-43.6,3168,4.7,53.2,167.2,91,52.6,165.2,-43.5,-43.5,3168,4.6,52.6,165.2,92,51.6,162.1,-44.9,-44.9,2884.2,4.2,51.6,162.1,93,49.1,154.3,-47,-47,2867.5,4,49.1,154.3
3973/001,2401 17th Street,2401 17TH ST,94110,54000,Office,http://propertymap.sfplanning.org/?&search=3973/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,100,0,,-100,,0.05,,0,,100,8.7,15.4,-83,,47.8,,8.2,14.8,99,12,27.5,-69.7,-69.6,47.8,0.9,11.1,26,100,11.7,26.3,-70.9,-70.9,43.9,0.8,14.4,29.7,99,12.8,27.7,-69.4,-69.4,47.3,0.9,13.8,28.8
3785/022,149 BLUXOME ST,149 BLUXOME ST,94107,17500, ,http://propertymap.sfplanning.org/?&search=3785/022,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923/006,Hamms Building,1550 BRYANT ST,94103,198612,Office,http://propertymap.sfplanning.org/?&search=3923/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/14,Exempt - ENERGY STAR,92,37.6,,-48.8,,636.8,,37.4,,91,39.4,124.9,-46.3,,590.9,,39.1,124.6,93,36.1,107.9,-50.1,-50,590.9,3.1,35.7,107.4,95,33.7,104.5,-54.6,-54.6,523.2,2.7,33.1,101.9,95,34.8,107.9,-53.5,-53.5,539.9,2.8,34.4,106.9
3722/076,611 MISSION ST,611 MISSION ST,94105,44800,Office,http://propertymap.sfplanning.org/?&search=3722/076,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Pending,,4/1/14,Complied,,,,,,,,,,,,,,,326.4,,,,,92.5,271.8,83.6,83.6,326.4,7.3,92.5,271.8,,89.2,276.3,86.6,86.6,323.5,7.2,89.2,276.3,,,,,,,,,
1452/022,5644 GEARY BLVD,5644 GEARY BLVD,94121,13000, ,http://propertymap.sfplanning.org/?&search=1452/022,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,4/1/13,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0811/012,214 VAN NESS AVE,214 VAN NESS AVE,94102,12634, ,http://propertymap.sfplanning.org/?&search=0811/012,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3903/004,Byer California - 1300 Bryant St.,1300 BRYANT ST,94103,43670, ,http://propertymap.sfplanning.org/?&search=3903/004,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,77,7.9,21.3,-37.8,,38.6,,8.2,21.6,59,13,27.9,-13.8,-13.8,38.6,0.9,11.3,26.2,73,8.6,20.2,-32.3,-32.3,26.5,0.6,8.6,20.2,80,6.6,17.8,-41.5,-41.5,21.7,0.5,6.6,17.8
0700/017,Hotel Kabuki,1625 POST ST,94115,225000,Hotel,http://propertymap.sfplanning.org/?&search=0700/017,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Did Not Report,,4/1/14,Pending,,,,,,,,,,,,,,,1621.1,,,,30,111,195.5,19.4,19.3,1621.1,7.2,108.3,193.9,31,100.8,184.5,18.7,18.7,1445.3,6.4,104.7,186.6,,,,,,,,,
0595/006,2020 Van Ness Ave,2020 VAN NESS AVE,94109,27948,Other - Services,http://propertymap.sfplanning.org/?&search=0595/006,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/13,Complied,,,,,,,,,,,15.7,52.4,-65.2,,37.7,,13.3,44.5,,15.3,48.2,-52.2,-52,37.7,1.3,15.3,48.2,,14.7,46.1,-54,-54,33.5,1.2,14.7,46.1,,15.1,47.4,-52.8,-52.8,34.4,1.2,15.1,47.4
3741/032,Spear Street Terrace,201 SPEAR ST,94105,314801,Office,http://propertymap.sfplanning.org/?&search=3741/032,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/13,Exempt - ENERGY STAR,82,65.8,,-33.2,,1402.91,,64.1,,83,64.2,178.3,-34.8,,1157.9,,62.7,176.6,89,52.2,140.6,-43.1,-43.1,1157.9,3.9,52.3,140.8,87,51.8,149.3,-40.2,-40.2,1188,4,53.1,150.7,88,49.2,145.9,-42.3,-42.3,1145.5,3.9,49.8,146.5
0328/002,2 Stockton,790 MARKET ST,94108,71826, ,http://propertymap.sfplanning.org/?&search=0328/002,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,4/1/13,Complied,78,40.5,,-34.2,,203.99,,39.7,,12,126.2,361.7,70.8,,,,126.2,361.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
0084/009,Interland - 155 Greenwich Street,101 GREENWICH ST,94111,145800,Office,http://propertymap.sfplanning.org/?&search=0084/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/14,Pending,,38.1,,-40.4,,434.18,,38.1,,,29,87.3,-57.3,,729.2,,28.8,87,56,64.8,182.7,-7,-7,729.2,5,64.8,182.7,77,69.7,203.3,-28.8,-28.8,797.9,5.5,69.9,203.9,76,69,195.8,-27.1,-27.1,797.7,5.3,68.9,194.3
3708/056,525 Market Street,525 MARKET ST,94105,1205848,Office,http://propertymap.sfplanning.org/?&search=3708/056,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/12,Exempt - LEED EBOM,100,52,,-59.5,,5034.62,,51,,93,51.8,146.2,-48.6,,4700.8,,51.8,148.5,91,52.2,143.1,-45.4,-45.4,4700.8,4,52.3,143.1,91,49.8,139.8,-45.6,-45.6,4542.9,3.8,51.3,141.3,,46.5,129.7,-12.4,-12.4,4225.5,3.6,47.1,130.4
0312/006,744 MARKET ST,744 MARKET ST,94108,44685, ,http://propertymap.sfplanning.org/?&search=0312/006,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/13,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4287/004,1850 CESAR CHAVEZ ST,1850 CESAR CHAVEZ ST,94107,10640, ,http://propertymap.sfplanning.org/?&search=4287/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/14,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
